nom,famille,masse,A,h,b,tw,tf,r,Iy,Iz,Wely,Wply,Welz,Wplz,iy,iz,Um,iz_tabule,It,Av,Aw
RRW 70/70/6.3,RRW,12.266820284380858,0.001562652265526224,0.07,0.07,0.0063,0.0063,0.0126,1.0384779478802513e-06,1.0384779478802513e-06,2.9670798510864326e-05,3.68788485433211e-05,2.9670798510864326e-05,3.68788485433211e-05,0.025779083094705307,0.025779083094705307,0.2637761011528471,0.015001789097650715,,,
RRW 70/70/8,RRW,15.035320186454388,0.0019153274122871834,0.07,0.07,0.008,0.008,0.016,1.1975489640835843e-06,1.1975489640835843e-06,3.4215684688102415e-05,4.377411153525754e-05,3.4215684688102415e-05,4.377411153525754e-05,0.02500490031530019,0.02500490031530019,0.259398223686155,0.015001789097650715,,,
RRW 80/80/3.6,RRW,8.527092337757018,0.0010862538009881553,0.08,0.08,0.0036000000000000003,0.0036000000000000003,0.007200000000000001,1.049045908864091e-06,1.049045908864091e-06,2.6226147721602277e-05,3.096786058761311e-05,2.6226147721602277e-05,3.096786058761311e-05,0.031076463671293277,0.031076463671293277,0.3107292006587698,0.015001789097650715,,,
RRW 80/80/4.5,RRW,10.497581777745332,0.0013372715640439913,0.08,0.08,0.0045000000000000005,0.0045000000000000005,0.009000000000000001,1.2583773406384844e-06,1.2583773406384844e-06,3.145943351596211e-05,3.7616387069741914e-05,3.145943351596211e-05,3.7616387069741914e-05,0.03067578179208147,0.03067578179208147,0.30841150082346225,0.015001789097650715,,,
RRW 80/80/5,RRW,11.564421947833743,0.001473174770424681,0.08,0.08,0.005,0.005,0.01,1.3661402059217391e-06,1.3661402059217391e-06,3.415350514804348e-05,4.112661291298483e-05,3.415350514804348e-05,4.112661291298483e-05,0.03045232809156319,0.03045232809156319,0.3071238898038469,0.015001789097650715,,,
RRW 80/80/5.6,RRW,12.818346891362653,0.0016329104320207202,0.08,0.08,0.0056,0.0056,0.0112,1.4876402961905073e-06,1.4876402961905073e-06,3.719100740476268e-05,4.516807195291452e-05,3.719100740476268e-05,4.516807195291452e-05,0.0301833740003348,0.0301833740003348,0.30557875658030853,0.015001789097650715,,,
RRW 80/80/6.3,RRW,14.245020284380846,0.0018146522655262227,0.08,0.08,0.0063,0.0063,0.0126,1.6188977199516171e-06,1.6188977199516171e-06,4.047244299879042e-05,4.96502098709522e-05,4.047244299879042e-05,4.96502098709522e-05,0.029868471475872668,0.029868471475872665,0.3037761011528471,0.015001789097650715,,,
RRW 80/80/7.1,RRW,15.827716415611969,0.0020162696070843275,0.08,0.08,0.0070999999999999995,0.0070999999999999995,0.014199999999999999,1.7555025826930328e-06,1.7555025826930328e-06,4.388756456732583e-05,5.446955983537782e-05,4.388756456732583e-05,5.446955983537782e-05,0.029507093614084535,0.029507093614084535,0.30171592352146265,0.015001789097650715,,,
RRW 80/80/8,RRW,17.54732018645439,0.0022353274122871836,0.08,0.08,0.008,0.008,0.016,1.892719931410006e-06,1.892719931410006e-06,4.7317998285250154e-05,5.951074859669347e-05,4.7317998285250154e-05,5.951074859669347e-05,0.029098634249456194,0.02909863424945619,0.299398223686155,0.015001789097650715,,,
RRW 90/90/3.6,RRW,9.657492337757018,0.0012302538009881553,0.09,0.09,0.0036000000000000003,0.0036000000000000003,0.007200000000000001,1.5209278997649258e-06,1.5209278997649258e-06,3.379839777255392e-05,3.96895295925539e-05,3.379839777255392e-05,3.96895295925539e-05,0.03516065489551035,0.03516065489551036,0.3507292006587698,0.015001789097650715,,,
